depth (m abs)	year
2.008	1800.205369
2.009	1800.204689
2.01	1800.204008
2.011	1800.203327
2.012	1800.202646
2.013	1800.201964
2.014	1800.201283
2.015	1800.200602
2.016	1800.199921
2.017	1800.19924
2.018	1800.19856
2.019	1800.197879
2.02	1800.197198
2.021	1800.196517
2.022	1800.195836
2.023	1800.195154
2.024	1800.194473
2.025	1800.193792
2.026	1800.193111
2.027	1800.192431
2.028	1800.19175
2.029	1800.191069
2.03	1800.190388
2.031	1800.189622
2.032	1800.188855
2.033	1800.188089
2.034	1800.187323
2.035	1800.186557
2.036	1800.185791
2.037	1800.185026
2.038	1800.18426
2.039	1800.183493
2.04	1800.182727
2.041	1800.181961
2.042	1800.181195
2.043	1800.180429
2.044	1800.179663
2.045	1800.178897
2.046	1800.178131
2.047	1800.177365
2.048	1800.176598
2.049	1800.175833
2.05	1800.175067
2.051	1800.174301
2.052	1800.173535
2.053	1800.172769
2.054	1800.172003
2.055	1800.171236
2.056	1800.17047
2.057	1800.169704
2.058	1800.168938
2.059	1800.168172
2.06	1800.167406
2.061	1800.166641
2.062	1800.165875
2.063	1800.165108
2.064	1800.164342
2.065	1800.163576
2.066	1800.16281
2.067	1800.162044
2.068	1800.161278
2.069	1800.160512
2.07	1800.159746
2.071	1800.158979
2.072	1800.158213
2.073	1800.157448
2.074	1800.156682
2.075	1800.155916
2.076	1800.15515
2.077	1800.154384
2.078	1800.153617
2.079	1800.152851
2.08	1800.152085
2.081	1800.151319
2.082	1800.150553
2.083	1800.149787
2.084	1800.149021
2.085	1800.148256
2.086	1800.147489
2.087	1800.146723
2.088	1800.145957
2.089	1800.145191
2.09	1800.144425
2.091	1800.143659
2.092	1800.142893
2.093	1800.142127
2.094	1800.14136
2.095	1800.140594
2.096	1800.139828
2.097	1800.139063
2.098	1800.138297
2.099	1800.137531
2.1	1800.136765
2.101	1800.135999
2.102	1800.135232
2.103	1800.134466
2.104	1800.1337
2.105	1800.132934
2.106	1800.132168
2.107	1800.131402
2.108	1800.130636
2.109	1800.12987
2.11	1800.129104
2.111	1800.128338
2.112	1800.127572
2.113	1800.126806
2.114	1800.12604
2.115	1800.125274
2.116	1800.124508
2.117	1800.123741
2.118	1800.122975
2.119	1800.122209
2.12	1800.121443
2.121	1800.120678
2.122	1800.119912
2.123	1800.119146
2.124	1800.11838
2.125	1800.117613
2.126	1800.116847
2.127	1800.116081
2.128	1800.115315
2.129	1800.114549
2.13	1800.113783
2.131	1800.113017
2.132	1800.112251
2.133	1800.111485
2.134	1800.110719
2.135	1800.109953
2.136	1800.109187
2.137	1800.108421
2.138	1800.107655
2.139	1800.106889
2.14	1800.106123
2.141	1800.105356
2.142	1800.10459
2.143	1800.103824
2.144	1800.103058
2.145	1800.102293
2.146	1800.101527
